"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Percent!!Estimate","Alabama!!Male!!Estimate","Alabama!!Percent Male!!Estimate","Alabama!!Female!!Estimate","Alabama!!Percent Female!!Estimate","Alaska!!Total!!Estimate","Alaska!!Percent!!Estimate","Alaska!!Male!!Estimate","Alaska!!Percent Male!!Estimate","Alaska!!Female!!Estimate","Alaska!!Percent Female!!Estimate","Arizona!!Total!!Estimate","Arizona!!Percent!!Estimate","Arizona!!Male!!Estimate","Arizona!!Percent Male!!Estimate","Arizona!!Female!!Estimate","Arizona!!Percent Female!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Percent!!Estimate","Arkansas!!Male!!Estimate","Arkansas!!Percent Male!!Estimate","Arkansas!!Female!!Estimate","Arkansas!!Percent Female!!Estimate","California!!Total!!Estimate","California!!Percent!!Estimate","California!!Male!!Estimate","California!!Percent Male!!Estimate","California!!Female!!Estimate","California!!Percent Female!!Estimate","Colorado!!Total!!Estimate","Colorado!!Percent!!Estimate","Colorado!!Male!!Estimate","Colorado!!Percent Male!!Estimate","Colorado!!Female!!Estimate","Colorado!!Percent Female!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Percent!!Estimate","Connecticut!!Male!!Estimate","Connecticut!!Percent Male!!Estimate","Connecticut!!Female!!Estimate","Connecticut!!Percent Female!!Estimate","Delaware!!Total!!Estimate","Delaware!!Percent!!Estimate","Delaware!!Male!!Estimate","Delaware!!Percent Male!!Estimate","Delaware!!Female!!Estimate","Delaware!!Percent Female!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Percent!!Estimate","District of Columbia!!Male!!Estimate","District of Columbia!!Percent Male!!Estimate","District of Columbia!!Female!!Estimate","District of Columbia!!Percent Female!!Estimate","Florida!!Total!!Estimate","Florida!!Percent!!Estimate","Florida!!Male!!Estimate","Florida!!Percent Male!!Estimate","Florida!!Female!!Estimate","Florida!!Percent Female!!Estimate","Georgia!!Total!!Estimate","Georgia!!Percent!!Estimate","Georgia!!Male!!Estimate","Georgia!!Percent Male!!Estimate","Georgia!!Female!!Estimate","Georgia!!Percent Female!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Percent!!Estimate","Hawaii!!Male!!Estimate","Hawaii!!Percent Male!!Estimate","Hawaii!!Female!!Estimate","Hawaii!!Percent Female!!Estimate","Idaho!!Total!!Estimate","Idaho!!Percent!!Estimate","Idaho!!Male!!Estimate","Idaho!!Percent Male!!Estimate","Idaho!!Female!!Estimate","Idaho!!Percent Female!!Estimate","Illinois!!Total!!Estimate","Illinois!!Percent!!Estimate","Illinois!!Male!!Estimate","Illinois!!Percent Male!!Estimate","Illinois!!Female!!Estimate","Illinois!!Percent Female!!Estimate","Indiana!!Total!!Estimate","Indiana!!Percent!!Estimate","Indiana!!Male!!Estimate","Indiana!!Percent Male!!Estimate","Indiana!!Female!!Estimate","Indiana!!Percent Female!!Estimate","Iowa!!Total!!Estimate","Iowa!!Percent!!Estimate","Iowa!!Male!!Estimate","Iowa!!Percent Male!!Estimate","Iowa!!Female!!Estimate","Iowa!!Percent Female!!Estimate","Kansas!!Total!!Estimate","Kansas!!Percent!!Estimate","Kansas!!Male!!Estimate","Kansas!!Percent Male!!Estimate","Kansas!!Female!!Estimate","Kansas!!Percent Female!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Percent!!Estimate","Kentucky!!Male!!Estimate","Kentucky!!Percent Male!!Estimate","Kentucky!!Female!!Estimate","Kentucky!!Percent Female!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Percent!!Estimate","Louisiana!!Male!!Estimate","Louisiana!!Percent Male!!Estimate","Louisiana!!Female!!Estimate","Louisiana!!Percent Female!!Estimate","Maine!!Total!!Estimate","Maine!!Percent!!Estimate","Maine!!Male!!Estimate","Maine!!Percent Male!!Estimate","Maine!!Female!!Estimate","Maine!!Percent Female!!Estimate","Maryland!!Total!!Estimate","Maryland!!Percent!!Estimate","Maryland!!Male!!Estimate","Maryland!!Percent Male!!Estimate","Maryland!!Female!!Estimate","Maryland!!Percent Female!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Percent!!Estimate","Massachusetts!!Male!!Estimate","Massachusetts!!Percent Male!!Estimate","Massachusetts!!Female!!Estimate","Massachusetts!!Percent Female!!Estimate","Michigan!!Total!!Estimate","Michigan!!Percent!!Estimate","Michigan!!Male!!Estimate","Michigan!!Percent Male!!Estimate","Michigan!!Female!!Estimate","Michigan!!Percent Female!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Percent!!Estimate","Minnesota!!Male!!Estimate","Minnesota!!Percent Male!!Estimate","Minnesota!!Female!!Estimate","Minnesota!!Percent Female!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Percent!!Estimate","Mississippi!!Male!!Estimate","Mississippi!!Percent Male!!Estimate","Mississippi!!Female!!Estimate","Mississippi!!Percent Female!!Estimate","Missouri!!Total!!Estimate","Missouri!!Percent!!Estimate","Missouri!!Male!!Estimate","Missouri!!Percent Male!!Estimate","Missouri!!Female!!Estimate","Missouri!!Percent Female!!Estimate","Montana!!Total!!Estimate","Montana!!Percent!!Estimate","Montana!!Male!!Estimate","Montana!!Percent Male!!Estimate","Montana!!Female!!Estimate","Montana!!Percent Female!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Percent!!Estimate","Nebraska!!Male!!Estimate","Nebraska!!Percent Male!!Estimate","Nebraska!!Female!!Estimate","Nebraska!!Percent Female!!Estimate","Nevada!!Total!!Estimate","Nevada!!Percent!!Estimate","Nevada!!Male!!Estimate","Nevada!!Percent Male!!Estimate","Nevada!!Female!!Estimate","Nevada!!Percent Female!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Percent!!Estimate","New Hampshire!!Male!!Estimate","New Hampshire!!Percent Male!!Estimate","New Hampshire!!Female!!Estimate","New Hampshire!!Percent Female!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Percent!!Estimate","New Jersey!!Male!!Estimate","New Jersey!!Percent Male!!Estimate","New Jersey!!Female!!Estimate","New Jersey!!Percent Female!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Percent!!Estimate","New Mexico!!Male!!Estimate","New Mexico!!Percent Male!!Estimate","New Mexico!!Female!!Estimate","New Mexico!!Percent Female!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Male!!Estimate","New York!!Percent Male!!Estimate","New York!!Female!!Estimate","New York!!Percent Female!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Percent!!Estimate","North Carolina!!Male!!Estimate","North Carolina!!Percent Male!!Estimate","North Carolina!!Female!!Estimate","North Carolina!!Percent Female!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Percent!!Estimate","North Dakota!!Male!!Estimate","North Dakota!!Percent Male!!Estimate","North Dakota!!Female!!Estimate","North Dakota!!Percent Female!!Estimate","Ohio!!Total!!Estimate","Ohio!!Percent!!Estimate","Ohio!!Male!!Estimate","Ohio!!Percent Male!!Estimate","Ohio!!Female!!Estimate","Ohio!!Percent Female!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Percent!!Estimate","Oklahoma!!Male!!Estimate","Oklahoma!!Percent Male!!Estimate","Oklahoma!!Female!!Estimate","Oklahoma!!Percent Female!!Estimate","Oregon!!Total!!Estimate","Oregon!!Percent!!Estimate","Oregon!!Male!!Estimate","Oregon!!Percent Male!!Estimate","Oregon!!Female!!Estimate","Oregon!!Percent Female!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Percent!!Estimate","Pennsylvania!!Male!!Estimate","Pennsylvania!!Percent Male!!Estimate","Pennsylvania!!Female!!Estimate","Pennsylvania!!Percent Female!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Percent!!Estimate","Rhode Island!!Male!!Estimate","Rhode Island!!Percent Male!!Estimate","Rhode Island!!Female!!Estimate","Rhode Island!!Percent Female!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Percent!!Estimate","South Carolina!!Male!!Estimate","South Carolina!!Percent Male!!Estimate","South Carolina!!Female!!Estimate","South Carolina!!Percent Female!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Percent!!Estimate","South Dakota!!Male!!Estimate","South Dakota!!Percent Male!!Estimate","South Dakota!!Female!!Estimate","South Dakota!!Percent Female!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Percent!!Estimate","Tennessee!!Male!!Estimate","Tennessee!!Percent Male!!Estimate","Tennessee!!Female!!Estimate","Tennessee!!Percent Female!!Estimate","Texas!!Total!!Estimate","Texas!!Percent!!Estimate","Texas!!Male!!Estimate","Texas!!Percent Male!!Estimate","Texas!!Female!!Estimate","Texas!!Percent Female!!Estimate","Utah!!Total!!Estimate","Utah!!Percent!!Estimate","Utah!!Male!!Estimate","Utah!!Percent Male!!Estimate","Utah!!Female!!Estimate","Utah!!Percent Female!!Estimate","Vermont!!Total!!Estimate","Vermont!!Percent!!Estimate","Vermont!!Male!!Estimate","Vermont!!Percent Male!!Estimate","Vermont!!Female!!Estimate","Vermont!!Percent Female!!Estimate","Virginia!!Total!!Estimate","Virginia!!Percent!!Estimate","Virginia!!Male!!Estimate","Virginia!!Percent Male!!Estimate","Virginia!!Female!!Estimate","Virginia!!Percent Female!!Estimate","Washington!!Total!!Estimate","Washington!!Percent!!Estimate","Washington!!Male!!Estimate","Washington!!Percent Male!!Estimate","Washington!!Female!!Estimate","Washington!!Percent Female!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Percent!!Estimate","West Virginia!!Male!!Estimate","West Virginia!!Percent Male!!Estimate","West Virginia!!Female!!Estimate","West Virginia!!Percent Female!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Percent!!Estimate","Wisconsin!!Male!!Estimate","Wisconsin!!Percent Male!!Estimate","Wisconsin!!Female!!Estimate","Wisconsin!!Percent Female!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Percent!!Estimate","Wyoming!!Male!!Estimate","Wyoming!!Percent Male!!Estimate","Wyoming!!Female!!Estimate","Wyoming!!Percent Female!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Percent Male!!Estimate","Puerto Rico!!Female!!Estimate","Puerto Rico!!Percent Female!!Estimate"
"Total population","5,157,699","(X)","2,490,551","(X)","2,667,148","(X)","740,133","(X)","390,301","(X)","349,832","(X)","7,582,384","(X)","3,782,883","(X)","3,799,501","(X)","3,088,354","(X)","1,517,526","(X)","1,570,828","(X)","39,431,263","(X)","19,675,103","(X)","19,756,160","(X)","5,957,494","(X)","3,016,719","(X)","2,940,775","(X)","3,675,069","(X)","1,804,896","(X)","1,870,173","(X)","1,051,917","(X)","506,763","(X)","545,154","(X)","702,250","(X)","332,062","(X)","370,188","(X)","23,372,215","(X)","11,488,598","(X)","11,883,617","(X)","11,180,878","(X)","5,441,586","(X)","5,739,292","(X)","1,446,146","(X)","723,923","(X)","722,223","(X)","2,001,619","(X)","1,007,233","(X)","994,386","(X)","12,710,158","(X)","6,280,259","(X)","6,429,899","(X)","6,924,275","(X)","3,431,764","(X)","3,492,511","(X)","3,241,488","(X)","1,622,686","(X)","1,618,802","(X)","2,970,606","(X)","1,487,233","(X)","1,483,373","(X)","4,588,372","(X)","2,274,627","(X)","2,313,745","(X)","4,597,740","(X)","2,242,572","(X)","2,355,168","(X)","1,405,012","(X)","692,688","(X)","712,324","(X)","6,263,220","(X)","3,038,142","(X)","3,225,078","(X)","7,136,171","(X)","3,481,139","(X)","3,655,032","(X)","10,140,459","(X)","5,015,542","(X)","5,124,917","(X)","5,793,151","(X)","2,897,870","(X)","2,895,281","(X)","2,943,045","(X)","1,421,300","(X)","1,521,745","(X)","6,245,466","(X)","3,080,058","(X)","3,165,408","(X)","1,137,233","(X)","575,447","(X)","561,786","(X)","2,005,466","(X)","1,009,629","(X)","995,837","(X)","3,267,467","(X)","1,647,319","(X)","1,620,148","(X)","1,409,032","(X)","702,191","(X)","706,841","(X)","9,500,851","(X)","4,677,607","(X)","4,823,244","(X)","2,130,256","(X)","1,065,400","(X)","1,064,856","(X)","19,867,248","(X)","9,704,610","(X)","10,162,638","(X)","11,046,024","(X)","5,396,017","(X)","5,650,007","(X)","796,568","(X)","408,714","(X)","387,854","(X)","11,883,304","(X)","5,867,389","(X)","6,015,915","(X)","4,095,393","(X)","2,040,182","(X)","2,055,211","(X)","4,272,371","(X)","2,128,207","(X)","2,144,164","(X)","13,078,751","(X)","6,448,942","(X)","6,629,809","(X)","1,112,308","(X)","547,371","(X)","564,937","(X)","5,478,831","(X)","2,671,064","(X)","2,807,767","(X)","924,669","(X)","474,961","(X)","449,708","(X)","7,227,750","(X)","3,544,910","(X)","3,682,840","(X)","31,290,831","(X)","15,608,512","(X)","15,682,319","(X)","3,503,613","(X)","1,778,121","(X)","1,725,492","(X)","648,493","(X)","320,167","(X)","328,326","(X)","8,811,195","(X)","4,356,641","(X)","4,454,554","(X)","7,958,180","(X)","4,009,969","(X)","3,948,211","(X)","1,769,979","(X)","881,512","(X)","888,467","(X)","5,960,975","(X)","2,984,118","(X)","2,976,857","(X)","587,618","(X)","301,319","(X)","286,299","(X)","3,203,295","(X)","1,516,882","(X)","1,686,413","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","285,758","5.5%","141,881","5.7%","143,877","5.4%","44,922","6.1%","23,437","6.0%","21,485","6.1%","393,963","5.2%","200,775","5.3%","193,188","5.1%","176,599","5.7%","89,764","5.9%","86,835","5.5%","2,083,154","5.3%","1,061,708","5.4%","1,021,446","5.2%","306,464","5.1%","156,618","5.2%","149,846","5.1%","179,896","4.9%","93,454","5.2%","86,442","4.6%","54,788","5.2%","26,707","5.3%","28,081","5.2%","39,498","5.6%","19,495","5.9%","20,003","5.4%","1,146,626","4.9%","583,538","5.1%","563,088","4.7%","612,543","5.5%","309,291","5.7%","303,252","5.3%","76,057","5.3%","39,617","5.5%","36,440","5.0%","110,595","5.5%","57,400","5.7%","53,195","5.3%","655,117","5.2%","333,198","5.3%","321,919","5.0%","403,534","5.8%","205,142","6.0%","198,392","5.7%","186,076","5.7%","96,024","5.9%","90,052","5.6%","171,018","5.8%","85,163","5.7%","85,855","5.8%","261,525","5.7%","132,062","5.8%","129,463","5.6%","271,498","5.9%","137,324","6.1%","134,174","5.7%","58,509","4.2%","30,280","4.4%","28,229","4.0%","350,973","5.6%","177,047","5.8%","173,926","5.4%","346,996","4.9%","177,079","5.1%","169,917","4.6%","524,888","5.2%","267,785","5.3%","257,103","5.0%","318,595","5.5%","161,865","5.6%","156,730","5.4%","163,692","5.6%","82,043","5.8%","81,649","5.4%","343,005","5.5%","177,532","5.8%","165,473","5.2%","53,955","4.7%","27,028","4.7%","26,927","4.8%","121,522","6.1%","63,066","6.2%","58,456","5.9%","169,737","5.2%","87,377","5.3%","82,360","5.1%","61,710","4.4%","31,069","4.4%","30,641","4.3%","525,751","5.5%","269,677","5.8%","256,074","5.3%","103,356","4.9%","55,773","5.2%","47,583","4.5%","1,039,067","5.2%","528,680","5.4%","510,387","5.0%","604,897","5.5%","310,056","5.7%","294,841","5.2%","43,600","5.5%","22,074","5.4%","21,526","5.6%","652,242","5.5%","336,977","5.7%","315,265","5.2%","241,245","5.9%","121,707","6.0%","119,538","5.8%","197,191","4.6%","99,502","4.7%","97,689","4.6%","660,513","5.1%","339,222","5.3%","321,291","4.8%","51,425","4.6%","26,034","4.8%","25,391","4.5%","293,334","5.4%","153,877","5.8%","139,457","5.0%","53,584","5.8%","29,007","6.1%","24,577","5.5%","410,205","5.7%","207,418","5.9%","202,787","5.5%","1,951,749","6.2%","991,727","6.4%","960,022","6.1%","229,016","6.5%","115,953","6.5%","113,063","6.6%","26,820","4.1%","13,467","4.2%","13,353","4.1%","471,514","5.4%","245,420","5.6%","226,094","5.1%","418,515","5.3%","217,786","5.4%","200,729","5.1%","86,422","4.9%","42,353","4.8%","44,069","5.0%","303,044","5.1%","154,111","5.2%","148,933","5.0%","28,344","4.8%","15,266","5.1%","13,078","4.6%","90,280","2.8%","48,205","3.2%","42,075","2.5%"
"        5 to 9 years","312,813","6.1%","161,224","6.5%","151,589","5.7%","46,547","6.3%","22,605","5.8%","23,942","6.8%","415,119","5.5%","207,831","5.5%","207,288","5.5%","194,255","6.3%","97,420","6.4%","96,835","6.2%","2,257,499","5.7%","1,159,051","5.9%","1,098,448","5.6%","323,548","5.4%","167,233","5.5%","156,315","5.3%","196,526","5.3%","102,579","5.7%","93,947","5.0%","57,714","5.5%","28,485","5.6%","29,229","5.4%","40,844","5.8%","19,365","5.8%","21,479","5.8%","1,209,854","5.2%","616,806","5.4%","593,048","5.0%","685,711","6.1%","355,452","6.5%","330,259","5.8%","86,743","6.0%","45,897","6.3%","40,846","5.7%","126,464","6.3%","64,717","6.4%","61,747","6.2%","748,386","5.9%","390,127","6.2%","358,259","5.6%","429,402","6.2%","218,405","6.4%","210,997","6.0%","196,600","6.1%","102,647","6.3%","93,953","5.8%","180,310","6.1%","89,992","6.1%","90,318","6.1%","270,128","5.9%","139,342","6.1%","130,786","5.7%","293,400","6.4%","150,976","6.7%","142,424","6.0%","72,063","5.1%","36,610","5.3%","35,453","5.0%","374,228","6.0%","189,746","6.2%","184,482","5.7%","360,104","5.0%","184,339","5.3%","175,765","4.8%","573,436","5.7%","291,483","5.8%","281,953","5.5%","356,597","6.2%","179,607","6.2%","176,990","6.1%","174,865","5.9%","88,749","6.2%","86,116","5.7%","370,752","5.9%","185,264","6.0%","185,488","5.9%","64,466","5.7%","32,613","5.7%","31,853","5.7%","133,424","6.7%","68,056","6.7%","65,368","6.6%","184,454","5.6%","91,371","5.5%","93,083","5.7%","64,135","4.6%","32,898","4.7%","31,237","4.4%","545,799","5.7%","275,455","5.9%","270,344","5.6%","112,610","5.3%","59,547","5.6%","53,063","5.0%","1,069,087","5.4%","546,553","5.6%","522,534","5.1%","648,697","5.9%","331,171","6.1%","317,526","5.6%","49,702","6.2%","25,974","6.4%","23,728","6.1%","720,032","6.1%","369,771","6.3%","350,261","5.8%","266,035","6.5%","135,598","6.6%","130,437","6.3%","224,138","5.2%","116,981","5.5%","107,157","5.0%","714,860","5.5%","364,580","5.7%","350,280","5.3%","53,158","4.8%","24,810","4.5%","28,348","5.0%","306,463","5.6%","157,526","5.9%","148,937","5.3%","60,056","6.5%","30,352","6.4%","29,704","6.6%","417,746","5.8%","214,054","6.0%","203,692","5.5%","2,103,565","6.7%","1,072,050","6.9%","1,031,515","6.6%","250,150","7.1%","126,522","7.1%","123,628","7.2%","29,754","4.6%","16,647","5.2%","13,107","4.0%","514,461","5.8%","265,809","6.1%","248,652","5.6%","466,661","5.9%","237,146","5.9%","229,515","5.8%","84,907","4.8%","42,945","4.9%","41,962","4.7%","336,976","5.7%","173,215","5.8%","163,761","5.5%","31,498","5.4%","15,871","5.3%","15,627","5.5%","123,329","3.9%","62,986","4.2%","60,343","3.6%"
"        10 to 14 years","328,997","6.4%","164,873","6.6%","164,124","6.2%","53,079","7.2%","27,855","7.1%","25,224","7.2%","477,222","6.3%","246,928","6.5%","230,294","6.1%","200,474","6.5%","104,574","6.9%","95,900","6.1%","2,500,710","6.3%","1,279,071","6.5%","1,221,639","6.2%","352,668","5.9%","180,097","6.0%","172,571","5.9%","211,069","5.7%","107,177","5.9%","103,892","5.6%","62,720","6.0%","32,523","6.4%","30,197","5.5%","31,330","4.5%","17,192","5.2%","14,138","3.8%","1,318,374","5.6%","678,392","5.9%","639,982","5.4%","756,146","6.8%","383,057","7.0%","373,089","6.5%","81,872","5.7%","41,002","5.7%","40,870","5.7%","141,082","7.0%","72,660","7.2%","68,422","6.9%","780,742","6.1%","395,187","6.3%","385,555","6.0%","456,769","6.6%","236,356","6.9%","220,413","6.3%","213,055","6.6%","105,608","6.5%","107,447","6.6%","208,378","7.0%","109,523","7.4%","98,855","6.7%","300,036","6.5%","155,538","6.8%","144,498","6.2%","309,524","6.7%","154,751","6.9%","154,773","6.6%","68,336","4.9%","35,417","5.1%","32,919","4.6%","395,317","6.3%","200,672","6.6%","194,645","6.0%","396,840","5.6%","200,618","5.8%","196,222","5.4%","614,522","6.1%","314,990","6.3%","299,532","5.8%","380,214","6.6%","198,527","6.9%","181,687","6.3%","200,709","6.8%","104,087","7.3%","96,622","6.3%","401,895","6.4%","213,162","6.9%","188,733","6.0%","68,138","6.0%","34,933","6.1%","33,205","5.9%","136,906","6.8%","70,697","7.0%","66,209","6.6%","207,235","6.3%","109,920","6.7%","97,315","6.0%","75,273","5.3%","38,516","5.5%","36,757","5.2%","602,670","6.3%","313,492","6.7%","289,178","6.0%","140,563","6.6%","70,733","6.6%","69,830","6.6%","1,162,399","5.9%","596,751","6.1%","565,648","5.6%","665,306","6.0%","342,161","6.3%","323,145","5.7%","55,415","7.0%","26,588","6.5%","28,827","7.4%","726,058","6.1%","372,732","6.4%","353,326","5.9%","280,257","6.8%","146,560","7.2%","133,697","6.5%","247,898","5.8%","128,492","6.0%","119,406","5.6%","765,894","5.9%","392,660","6.1%","373,234","5.6%","60,206","5.4%","33,416","6.1%","26,790","4.7%","335,351","6.1%","171,694","6.4%","163,657","5.8%","63,718","6.9%","34,836","7.3%","28,882","6.4%","459,575","6.4%","238,684","6.7%","220,891","6.0%","2,215,238","7.1%","1,141,156","7.3%","1,074,082","6.8%","274,337","7.8%","145,413","8.2%","128,924","7.5%","33,752","5.2%","15,786","4.9%","17,966","5.5%","546,617","6.2%","283,971","6.5%","262,646","5.9%","472,576","5.9%","243,372","6.1%","229,204","5.8%","108,174","6.1%","57,247","6.5%","50,927","5.7%","360,640","6.1%","186,403","6.2%","174,237","5.9%","40,087","6.8%","20,765","6.9%","19,322","6.7%","160,119","5.0%","83,132","5.5%","76,987","4.6%"
"        15 to 19 years","358,378","6.9%","177,445","7.1%","180,933","6.8%","47,163","6.4%","25,912","6.6%","21,251","6.1%","506,259","6.7%","261,131","6.9%","245,128","6.5%","213,047","6.9%","108,080","7.1%","104,967","6.7%","2,641,200","6.7%","1,350,715","6.9%","1,290,485","6.5%","376,768","6.3%","199,363","6.6%","177,405","6.0%","241,497","6.6%","120,296","6.7%","121,201","6.5%","66,217","6.3%","31,381","6.2%","34,836","6.4%","37,960","5.4%","17,787","5.4%","20,173","5.4%","1,362,318","5.8%","697,079","6.1%","665,239","5.6%","784,334","7.0%","408,905","7.5%","375,429","6.5%","79,626","5.5%","41,097","5.7%","38,529","5.3%","146,348","7.3%","73,929","7.3%","72,419","7.3%","835,057","6.6%","428,112","6.8%","406,945","6.3%","480,835","6.9%","248,932","7.3%","231,903","6.6%","226,814","7.0%","118,828","7.3%","107,986","6.7%","213,250","7.2%","109,172","7.3%","104,078","7.0%","309,599","6.7%","158,229","7.0%","151,370","6.5%","310,430","6.8%","161,318","7.2%","149,112","6.3%","80,330","5.7%","42,330","6.1%","38,000","5.3%","401,855","6.4%","208,199","6.9%","193,656","6.0%","462,859","6.5%","228,873","6.6%","233,986","6.4%","652,892","6.4%","334,102","6.7%","318,790","6.2%","387,902","6.7%","197,834","6.8%","190,068","6.6%","222,194","7.5%","113,023","8.0%","109,171","7.2%","407,725","6.5%","205,638","6.7%","202,087","6.4%","73,109","6.4%","37,841","6.6%","35,268","6.3%","143,504","7.2%","75,861","7.5%","67,643","6.8%","198,766","6.1%","103,262","6.3%","95,504","5.9%","86,606","6.1%","41,086","5.9%","45,520","6.4%","591,822","6.2%","300,826","6.4%","290,996","6.0%","142,976","6.7%","73,406","6.9%","69,570","6.5%","1,209,141","6.1%","613,917","6.3%","595,224","5.9%","730,298","6.6%","368,725","6.8%","361,573","6.4%","55,036","6.9%","28,753","7.0%","26,283","6.8%","776,171","6.5%","392,963","6.7%","383,208","6.4%","293,519","7.2%","153,359","7.5%","140,160","6.8%","258,469","6.0%","136,506","6.4%","121,963","5.7%","856,231","6.5%","434,323","6.7%","421,908","6.4%","74,539","6.7%","37,891","6.9%","36,648","6.5%","370,185","6.8%","191,106","7.2%","179,079","6.4%","65,617","7.1%","33,229","7.0%","32,388","7.2%","463,487","6.4%","239,546","6.8%","223,941","6.1%","2,269,275","7.3%","1,167,736","7.5%","1,101,539","7.0%","290,563","8.3%","149,634","8.4%","140,929","8.2%","42,352","6.5%","20,307","6.3%","22,045","6.7%","585,661","6.6%","304,061","7.0%","281,600","6.3%","478,651","6.0%","250,037","6.2%","228,614","5.8%","113,272","6.4%","59,386","6.7%","53,886","6.1%","386,359","6.5%","198,932","6.7%","187,427","6.3%","41,098","7.0%","23,225","7.7%","17,873","6.2%","188,887","5.9%","98,598","6.5%","90,289","5.4%"
